title,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-16,2020-09-17,2020-09-18,2020-09-21,2020-09-22,2020-09-23,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-12-31,2020-11-04,2020-11-06,2020-11-07,2020-11-08
Behave: The Biology of Humans at Our Best and Worst,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.3,464.30
The Righteous Mind: Why Good People Are Divided by Politics and Religion,,,,,,,,,,,,,,,,,,653.0,632.28,632.28,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53,702.53
The Vegetarian,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98,485.98
Confessions of a Mask,376.29,376.29,376.29,376.29,376.29,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35,339.35
The Hunger Games Trilogy Boxed Set,718.22,721.3,708.72,708.72,702.74,704.22,711.23,714.47,716.61,735.26,757.73,755.7,759.09,759.76,753.92,753.92,762.57,,,,,,760.11,,,,,,,,,,,,,,,,,,,,,,,,745.09,750.59,,,,
I'm Thinking of Ending Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Godfather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Longer Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Inmortalidad,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.00
"Call Me by Your Name, Portada puede variar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strange Weather in Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
