date,title,price
2020-03-22,The Hunger Games Trilogy Boxed Set,780.14
2020-03-22,"First, We Make the Beast Beautiful: A New Journey Through Anxiety",386.0
2020-03-22,I'm Thinking of Ending Things,223.0
2020-03-22,The Godfather,310.12
2020-03-22,Colorless Tsukuru Tazaki and His Years of Pilgrimage,452.04
2020-03-22,The Remains of the Day,440.7
2020-03-22,The Elephant Vanishes,299.0
2020-03-22,No Longer Human,306.0
2020-03-22,La Inmortalidad,248.0
2020-03-22,"Call Me by Your Name, Portada puede variar",341.88
2020-03-22,Strange Weather in Tokyo,336.39
2020-03-22,Kokoro,282.0
2020-03-22,Notre Dame de París / Notre-Dame of Paris,285.17
2020-03-22,Memoirs of a Geisha,520.0
2020-03-22,Dance Dance Dance,341.6
2020-03-22,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-03-22,God Help the Child,387.97
2020-03-22,Anna Karenina,370.0
2020-03-22,The Selfish Gene: 40th Anniversary Edition,236.22
2020-03-22,The Hate U Give Collector's Edition,258.39
2020-03-22,"The Temple of Dawn: The Sea of Fertility, 3",315.03
2020-03-22,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-03-22,Pedro y el capitán,99.0
2020-03-22,All My Sons,223.0
2020-03-22,Persona: A Biography of Yukio Mishima,917.17
2020-03-22,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,193.0
2020-03-22,On Confidence,223.0
2020-03-22,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,375.63
2020-03-22,Relationships,390.7
2020-03-22,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-22,Chaos: Making a New Science,369.25
2020-03-22,A Darker Shade of Magic,280.56
2020-03-22,From Disgust to Humanity: Sexual Orientation and Constitutional Law,540.72
2020-03-22,Beyond Good and Evil,251.12
2020-03-22,"The Hobbit: Or, There and Back Again",253.49
2020-03-22,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-22,The Whale That Fell in Love with a Submarine,347.34
2020-03-22,Shōgun: The Epic Novel of Japan,667.5
2020-03-22,Someone Who Will Love You in All Your Damaged Glory: Stories,318.1
2020-03-22,"Runaway Horses: The Sea of Fertility, 2",317.53
2020-03-22,"Anger and Forgiveness: Resentment, Generosity, Justice",450.54
2020-03-22,Before the Coffee Gets Cold,279.35
2020-03-22,Human Acts,359.41
2020-03-23,The Hunger Games Trilogy Boxed Set,780.14
2020-03-23,"First, We Make the Beast Beautiful: A New Journey Through Anxiety",386.0
2020-03-23,I'm Thinking of Ending Things,223.0
2020-03-23,The Godfather,310.12
2020-03-23,Colorless Tsukuru Tazaki and His Years of Pilgrimage,452.04
2020-03-23,The Remains of the Day,440.7
2020-03-23,The Elephant Vanishes,299.0
2020-03-23,No Longer Human,306.0
2020-03-23,La Inmortalidad,248.0
2020-03-23,"Call Me by Your Name, Portada puede variar",341.88
2020-03-23,Strange Weather in Tokyo,336.39
2020-03-23,Kokoro,282.0
2020-03-23,Notre Dame de París / Notre-Dame of Paris,285.17
2020-03-23,Memoirs of a Geisha,393.88
2020-03-23,Dance Dance Dance,341.6
2020-03-23,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-03-23,God Help the Child,391.17
2020-03-23,Anna Karenina,370.0
2020-03-23,The Selfish Gene: 40th Anniversary Edition,236.22
2020-03-23,The Hate U Give Collector's Edition,258.39
2020-03-23,"The Temple of Dawn: The Sea of Fertility, 3",315.03
2020-03-23,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-03-23,Pedro y el capitán,99.0
2020-03-23,All My Sons,223.0
2020-03-23,Persona: A Biography of Yukio Mishima,917.17
2020-03-23,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,219.69
2020-03-23,On Confidence,223.0
2020-03-23,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,375.63
2020-03-23,Relationships,390.7
2020-03-23,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-23,Chaos: Making a New Science,369.25
2020-03-23,A Darker Shade of Magic,280.56
2020-03-23,From Disgust to Humanity: Sexual Orientation and Constitutional Law,540.72
2020-03-23,Beyond Good and Evil,251.12
2020-03-23,"The Hobbit: Or, There and Back Again",253.49
2020-03-23,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-23,The Whale That Fell in Love with a Submarine,347.34
2020-03-23,Shōgun: The Epic Novel of Japan,667.5
2020-03-23,Someone Who Will Love You in All Your Damaged Glory: Stories,317.61
2020-03-23,"Runaway Horses: The Sea of Fertility, 2",317.53
2020-03-23,"Anger and Forgiveness: Resentment, Generosity, Justice",450.54
2020-03-23,Before the Coffee Gets Cold,279.35
2020-03-23,Human Acts,359.41
2020-03-24,The Hunger Games Trilogy Boxed Set,780.14
2020-03-24,"First, We Make the Beast Beautiful: A New Journey Through Anxiety",386.0
2020-03-24,I'm Thinking of Ending Things,223.0
2020-03-24,The Godfather,310.12
2020-03-24,Colorless Tsukuru Tazaki and His Years of Pilgrimage,528.65
2020-03-24,The Remains of the Day,440.7
2020-03-24,The Elephant Vanishes,303.0
2020-03-24,No Longer Human,306.0
2020-03-24,La Inmortalidad,248.0
